MovieID,year,name,budget,company,country,director,genre,gross,rating,released,runtime,score,star,votes,writer
3.0,1997,Character,4500000.0,First Floor Features,Netherlands,Mike van Diem,Crime,713413.0,R,1998-03-27,122,7.8,Pavlik Jansen op de Haar,9512,Ferdinand Bordewijk
18.0,1994,Immortal Beloved,0.0,Icon Entertainment International,UK,Bernard Rose,Biography,9914409.0,R,1995-01-27,121,7.5,Gary Oldman,20038,Bernard Rose
30.0,2003,Something's Gotta Give,80000000.0,Columbia Pictures Corporation,USA,Nancy Meyers,Comedy,124728738.0,PG-13,2003-12-12,128,6.7,Jack Nicholson,96603,Nancy Meyers
45.0,1999,The Love Letter,20000000.0,DreamWorks,USA,Peter Ho-Sun Chan,Comedy,8276228.0,PG-13,1999-05-21,88,5.4,Kate Capshaw,3641,Cathleen Schine
55.0,1995,Jade,50000000.0,Paramount Pictures,USA,William Friedkin,Crime,9795017.0,R,1995-10-13,95,5.2,David Caruso,9815,Joe Eszterhas
57.0,1995,Richard III,0.0,Mayfair Entertainment International,UK,Richard Loncraine,Drama,2600000.0,R,1995-12-29,110,7.5,Ian McKellen,12218,William Shakespeare
77.0,1995,Congo,50000000.0,Paramount Pictures,USA,Frank Marshall,Action,81022101.0,PG-13,1995-06-09,109,5.1,Laura Linney,36705,Michael Crichton
78.0,1996,Jingle All the Way,60000000.0,1492 Pictures,USA,Brian Levant,Comedy,60573641.0,PG,1996-11-22,89,5.5,Arnold Schwarzenegger,74318,Randy Kornfield
84.0,2002,The Powerpuff Girls Movie,11000000.0,Cartoon Network Studios,USA,Craig McCracken,Animation,11411644.0,PG,2002-07-03,73,6.5,Cathy Cavadini,8247,Charlie Bean
108.0,2004,Spartan,19250000.0,Franchise Pictures,Germany,David Mamet,Action,4434432.0,R,2004-03-12,102,6.6,Val Kilmer,27340,David Mamet
110.0,1989,Scandal,0.0,British Screen Productions,UK,Michael Caton-Jones,Drama,8800000.0,R,1989-04-28,115,6.5,John Hurt,3972,Michael Thomas
127.0,1987,Fatal Beauty,0.0,Metro-Goldwyn-Mayer (MGM),USA,Tom Holland,Action,12046526.0,R,1987-10-30,104,5.3,Whoopi Goldberg,2652,Bill Svanoe
143.0,1997,The Game,50000000.0,Polygram Filmed Entertainment,USA,David Fincher,Drama,48323648.0,R,1997-09-12,129,7.8,Michael Douglas,285147,John Brancato
148.0,2001,Sweet November,40000000.0,Warner Bros.,USA,Pat O'Connor,Drama,25288103.0,PG-13,2001-02-16,119,6.7,Keanu Reeves,74702,Herman Raucher
152.0,1995,A Little Princess,17000000.0,Warner Bros.,USA,Alfonso Cuarón,Drama,10019307.0,G,1995-05-19,97,7.7,Liesel Matthews,26945,Frances Hodgson Burnett
156.0,1992,Husbands and Wives,20000000.0,TriStar Pictures,USA,Woody Allen,Comedy,10555619.0,R,1992-09-18,103,7.6,Woody Allen,23108,Woody Allen
